faq_id,product_id,question,answer,add_in_google_structured_data,sort_order
346071,4262,What if I want to check the sample physically and it is quality? Can you send me the actual customized product?,"Yes, that is possible! We can ship the actual sample of your customized beanie for you to see and inspect the quality. Please note that the shipping fee is not refundable.",0,2
348703,4130,How long will it take to get my printed brochures delivered?,"The delivery time for your printed brochures depends on our printing turnaround, which refers to the time needed to print your order and prepare it for delivery. Please note that this turnaround time does not account for shipping transit time, weekends, or holidays.",0,1
348704,4130,Do you offer double-sided printing?,"Yes, we offer high-quality double-sided printing services. You have the flexibility to choose between single-sided or double-sided printing options based on your requirements.",0,2
350603,4126,What is the minimum order quantity for personalized notecards?,Our minimum order quantity for personalized notecards is 25 cards per design.,0,1
348988,638,Can you do drop shipping?,Yes. Please send us an email for more info.,1,15
350827,31,Can you manipulate “Vector” art?,"Yes, vector art can be altered in shape and in color.",0,9
350831,31,Do your table covers come with zippers?,You have the option of selecting a zipper option on the back of each cover in our step by step process below.,0,13
351244,4286,What is included in the pickleball paddle set?,"Our pickleball paddle set includes two paddles, four balls, and a convenient carrying bag for easy transport and storage.",0,1
351260,4163,What is the battery life or power efficiency of your calculators?,"Our calculators are designed to be energy-efficient, with long battery life for battery-powered models and reliable solar power technology for solar-powered models.",0,2
356601,4279,What is the Minimum Order Quantity (MOQ) for purchasing your luggage tags?,"Our MOQ for luggage tags is 10 units, ensuring you can easily obtain our high-quality tags in quantities that suit your needs.",1,1
362827,7911,Can you explain the Layout: Horizontal and Vertical options ?,Sure!  Horizontal is the more common layout - it has the logo displayed in a landscape arrangement (think of a dollar bill: wider left to right and shorter top to bottom).  For a vertical layout everything is swapped: the logo appears in a portrait view in which the overall dimensions are greater in the height and narrower in the width (think of a skyscraper).,0,12
362891,8080,What is custom folder?,"Custom folder is a personalized file organizer designed with your own unique branding, logos, artwork, or text, often used for professional, academic, or personal purposes.",0,1
363138,7004,Are your products reusable?,"Yes, many of our products are designed to be durable and reusable, allowing you to enjoy them multiple times.",0,4
363139,7004,How do I clean and maintain your products?,"Most of our products can be easily cleaned with water. For specific care instructions, please refer to the product details provided with your purchase.",0,5
363141,7004,Are your products eco-friendly?,We prioritize sustainability and offer eco-friendly options made from natural and biodegradable materials.,0,7
363142,7004,Can your products be used for both hot and cold drinks?,"Yes, our products are designed to withstand both hot and cold beverages, making them versatile for any drink.",0,8
363143,7004,What are the customization options available?,"You can customize our products with your logo, artwork, or personalized text using our advanced laser engraving and UV printing processes.",0,9
39848,36,How can I customize my order on your website?,"1. Select the coaster shape. 
2. Select size and quantity. 
3. Select coaster material. You can choose among paper, pulpboard, cork, vinyl, and foam. 
4. Customize your coaster. You have an option to upload your artwork. Click ""Browse"" it will route you to your files to select your favorite picture or you can select ""Email my Artwork Later"" from the drop-down menu if the image is not available yet. It will let you continue with the order without an attachment. You can send the file to <a href=""mailto:##sale_email##"">##sale_email##</a> once your artwork becomes available. 
5. Select the delivery date. Then you can proceed to Add to Cart to enter your shipping information and payment method. Click submit and the confirmation email with your order number will be sent to you right away, and you're all set!",0,0
